URL,Hotel Name,Is New,Total Rating,Price,Original Price,Discount,Hotel ID
https://www.oyorooms.com/2572,Capital O Hotel Kalash Residency,0,235 Ratings,₹949,₹3758,74% off,2572
https://www.oyorooms.com/2896,OYO Vibrant Residency,0,385 Ratings,₹1468,₹4194,64% off,2896
https://www.oyorooms.com/2966,OYO Home Hotel Skyland,0,335 Ratings,₹1587,₹4534,64% off,2966
https://www.oyorooms.com/3139,OYO Hotel Liberty,0,291 Ratings,₹1406,₹4038,65% off,3139
https://www.oyorooms.com/3414,OYO Hotel Kanchan Palace,0,648 Ratings,₹1142,₹3545,67% off,3414
https://www.oyorooms.com/3588,OYO Flagship 2591 Hotel Anjani Palace,1,,₹1133,₹3237,64% off,3588
https://www.oyorooms.com/36136,Flagship Red Apple,0,68 Ratings,₹1460,₹4172,65% off,36136
https://www.oyorooms.com/43921,Flagship Hotel Navjivan,0,186 Ratings,₹991,₹2832,65% off,43921
https://www.oyorooms.com/50140,OYO Hotel Dream Palace,0,28 Ratings,₹606,₹3216,81% off,50140
https://www.oyorooms.com/52428,OYO Hotel Surya,1,,₹1081,₹3357,67% off,52428
https://www.oyorooms.com/54479,OYO Hotel Sunway,0,158 Ratings,₹1322,₹4107,67% off,54479
https://www.oyorooms.com/60262,Collection O Hotel Acropole Inn,1,,₹1254,₹3584,65% off,60262
https://www.oyorooms.com/62269,Capital O 44310 Maninagar Residency,1,,₹626,₹3397,81% off,62269
https://www.oyorooms.com/682,Flagship Hotel Crystal,0,691 Ratings,₹799,₹3042,73% off,682
https://www.oyorooms.com/79479,3 BY OYO Nami Residency Ahmedabad,0,444 Ratings,₹2760,₹5128,46% off,79479
https://www.oyorooms.com/80001,Super OYO Hotel Shubham Inn,0,589 Ratings,₹1300,₹4040,67% off,80001
https://www.oyorooms.com/81347,OYO Flagship 60599 Kabir Residency,0,58 Ratings,₹1289,₹3684,65% off,81347
https://www.oyorooms.com/968,OYO Hotel Kadamb Inn,1,,₹949,₹3601,73% off,968
https://www.oyorooms.com/976,Super OYO Hotel Silver Plaza,0,254 Ratings,₹1295,₹4022,67% off,976
https://www.oyorooms.com/98617,OYO Hotel Safari Inn,0,301 Ratings,₹1050,₹2987,64% off,98617
https://www.oyorooms.com/210764,SPOT ON 812561 Hotel Sai Prasad,1,,₹681,₹2273,70% off,210764
https://www.oyorooms.com/110941,OYO Suman Palace,0,314 Ratings,₹1138,₹3534,67% off,110941
https://www.oyorooms.com/114083,OYO Grand L M,0,70 Ratings,₹1133,₹3519,67% off,114083
https://www.oyorooms.com/212993,OYO 813761 New Ajmer Heritage,0,14 Ratings,₹1074,₹3069,65% off,212993
https://www.oyorooms.com/37911,OYO Hotel Pushkar Talhati,0,562 Ratings,₹1284,₹3987,67% off,37911
https://www.oyorooms.com/3863,Flagship Hotel Prince,0,121 Ratings,₹1057,₹3281,67% off,3863
